Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=350, n=100, seed=1234",0,1.170601744538747e+23,5.604663509838157e+25,5.880550439705133e+24,8.14884388036038e+24
"pop=300, k=350, n=100, seed=1234",1,1.170601744538747e+23,6.838144553665279e+26,2.100582159038878e+25,5.9252505241362205e+25
"pop=300, k=350, n=100, seed=1234",2,1.167091668634677e+23,1.4940125519281692e+26,1.4378157307849831e+25,2.598950646248973e+25
"pop=300, k=350, n=100, seed=1234",3,1.1556438436386497e+23,1.0604838473284127e+27,2.4096717521314195e+25,9.446321123415336e+25
"pop=300, k=350, n=100, seed=1234",4,1.1556438436386497e+23,4.960298451788183e+26,1.3511033898825183e+25,4.08033298077254e+25
"pop=300, k=350, n=100, seed=1234",5,1.1571979131762374e+23,1.5330902064805229e+26,9.076593288231362e+24,2.099562437539831e+25
"pop=300, k=350, n=100, seed=1234",6,1.1399493388598026e+23,4.555935083694067e+26,1.0425080422990491e+25,4.0388583361921e+25
"pop=300, k=350, n=100, seed=1234",7,1.11914463712144e+23,8.235831895362579e+26,6.631567599043117e+24,5.156021968088057e+25
"pop=300, k=350, n=100, seed=1234",8,1.1074269252450566e+23,4.750820866985027e+25,2.202522243215955e+24,5.654618982301792e+24
"pop=300, k=350, n=100, seed=1234",9,1.0426248444892856e+23,2.050378242439992e+25,7.135374052669569e+23,2.3959782581364415e+24
"pop=300, k=350, n=100, seed=1234",10,1.0239701816608676e+23,1.2202217524693987e+23,1.1369256056083674e+23,3.1653958001112195e+21
"pop=300, k=350, n=100, seed=1234",11,9.888996348443038e+22,1.2280152817426425e+23,1.1023455176639124e+23,3.861095013697691e+21
"pop=300, k=350, n=100, seed=1234",12,8.799519049527707e+22,1.2479478915401997e+23,1.0653203944865617e+23,5.255652201111458e+21
"pop=300, k=350, n=100, seed=1234",13,8.663289489135089e+22,1.2170333654179135e+23,1.0140868020221864e+23,5.322085371576181e+21
"pop=300, k=350, n=100, seed=1234",14,7.867602384879201e+22,1.1887999678948404e+23,9.628869612781483e+22,6.12422937718499e+21
"pop=300, k=350, n=100, seed=1234",15,7.093008323434654e+22,1.3193127344669577e+23,9.092253875725176e+22,7.733571395193742e+21
"pop=300, k=350, n=100, seed=1234",16,6.01060184861123e+22,1.2066075893064694e+23,8.446752216047451e+22,8.478672642915142e+21
"pop=300, k=350, n=100, seed=1234",17,5.061711956744342e+22,1.09401710489007e+23,7.735626993366075e+22,8.432076706224919e+21
"pop=300, k=350, n=100, seed=1234",18,3.3714715780723897e+22,1.2971697911386927e+23,7.16021816398345e+22,1.1966602267366326e+22
"pop=300, k=350, n=100, seed=1234",19,2.107057409762782e+22,1.2324453242935988e+23,6.268383729886224e+22,1.2636480425457854e+22
"pop=300, k=350, n=100, seed=1234",20,1.9956028255929694e+22,1.3211299711915474e+23,5.479249939215315e+22,1.6148408856604265e+22
"pop=300, k=350, n=100, seed=1234",21,9.744511802237233e+21,1.660780102281367e+23,4.453236281855959e+22,1.8171014967908387e+22
"pop=300, k=350, n=100, seed=1234",22,8.450451498008184e+21,1.8408652179011556e+23,3.5745221874154362e+22,2.0166571487001915e+22
"pop=300, k=350, n=100, seed=1234",23,6.60258798443315e+21,1.6647367743452465e+23,2.6578716672225733e+22,1.621826870849416e+22
"pop=300, k=350, n=100, seed=1234",24,5.014724912409671e+21,9.832006799612079e+22,2.0407487216008647e+22,1.254352052026794e+22
"pop=300, k=350, n=100, seed=1234",25,3.442020398729436e+21,3.404329587659404e+23,1.8420147757806984e+22,2.4911263422759934e+22
"pop=300, k=350, n=100, seed=1234",26,2.0271702829903852e+21,7.755503226411105e+22,1.2004537207301576e+22,8.916170212755157e+21
"pop=300, k=350, n=100, seed=1234",27,2.0271702829903852e+21,4.6837494669508516e+22,1.0076528146151943e+22,8.041132272179796e+21
"pop=300, k=350, n=100, seed=1234",28,1.7313681594869985e+21,1.2300593682523294e+23,9.862085374066146e+21,1.298364436306757e+22
"pop=300, k=350, n=100, seed=1234",29,1.0454368950080446e+21,7.2242026385684126e+22,9.98123263028379e+21,1.245824447125734e+22
"pop=300, k=350, n=100, seed=1234",30,1.0302676960856814e+21,1.4115799506702179e+23,9.382393898675956e+21,1.5245441853435863e+22
"pop=300, k=350, n=100, seed=1234",31,9.75481491099893e+20,8.355247837126145e+22,7.228356624173571e+21,1.163138882797565e+22
"pop=300, k=350, n=100, seed=1234",32,6.016329764056648e+20,8.497551964781601e+22,5.793977753864911e+21,1.0510427759817934e+22
"pop=300, k=350, n=100, seed=1234",33,3.162907519542786e+20,2.53286534733088e+23,5.764759314518413e+21,1.6631103870773429e+22
"pop=300, k=350, n=100, seed=1234",34,3.199094014303142e+20,1.14866084055489e+23,4.033974118193686e+21,1.0780423590034394e+22
"pop=300, k=350, n=100, seed=1234",35,4.997179748296114e+20,3.80715894770191e+22,2.55688968615087e+21,4.936295778054052e+21
"pop=300, k=350, n=100, seed=1234",36,4.801419266318716e+20,1.0344299700030367e+23,4.2678118461308037e+21,1.0574034958730725e+22
"pop=300, k=350, n=100, seed=1234",37,2.8904711762988505e+20,5.5094240148881154e+22,3.330018032583767e+21,6.426824108853338e+21
"pop=300, k=350, n=100, seed=1234",38,3.2571983376369975e+20,7.253376808345574e+22,3.117130281494416e+21,7.455908007801099e+21
"pop=300, k=350, n=100, seed=1234",39,2.187443727369014e+20,9.863484538056148e+22,2.2435821144135843e+21,6.508183834304954e+21
"pop=300, k=350, n=100, seed=1234",40,1.5568438527711357e+20,2.27211119001122e+22,1.8485469413690298e+21,2.935758486002443e+21
"pop=300, k=350, n=100, seed=1234",41,1.5421283668709592e+20,3.677076875286045e+22,1.805020509250858e+21,3.9177916978715055e+21
"pop=300, k=350, n=100, seed=1234",42,1.515958291555597e+20,1.535223963086389e+22,9.1282258341503e+20,1.456666187583708e+21
"pop=300, k=350, n=100, seed=1234",43,1.153382667068352e+20,1.1622625797570575e+22,1.0253586403087151e+21,1.6081036922099734e+21
"pop=300, k=350, n=100, seed=1234",44,7.567261890592825e+19,2.343045807167675e+22,9.275009179000915e+20,1.8939407788911016e+21
"pop=300, k=350, n=100, seed=1234",45,8.385601058748572e+19,1.5010386181301033e+22,9.60703326310214e+20,1.7365661533950336e+21
"pop=300, k=350, n=100, seed=1234",46,7.348315575976638e+19,1.7746503414755285e+22,8.498735872507723e+20,2.0962675707212351e+21
"pop=300, k=350, n=100, seed=1234",47,7.348315575976638e+19,6.778198906664988e+21,6.217382153242323e+20,1.099963520310153e+21
"pop=300, k=350, n=100, seed=1234",48,7.027302264737774e+19,8.807009865496974e+21,5.854254859971013e+20,1.0657098204638971e+21
"pop=300, k=350, n=100, seed=1234",49,7.027302264737774e+19,3.1738066858935e+22,5.3868520943026084e+20,2.0161672125045633e+21
"pop=300, k=350, n=100, seed=1234",50,3.073668909349637e+19,3.3062415509231234e+21,2.294929868142055e+20,3.5290290938281125e+20
"pop=300, k=350, n=100, seed=1234",51,2.9454212742227333e+19,2.8253189270789806e+21,1.88205775809553e+20,2.915216635960225e+20
"pop=300, k=350, n=100, seed=1234",52,2.8739695354827276e+19,3.058051614953264e+21,1.6424881328305242e+20,2.7666122636843965e+20
"pop=300, k=350, n=100, seed=1234",53,2.881605570540653e+19,3.6222346599590716e+21,1.6078408563417514e+20,2.7303747870754623e+20
"pop=300, k=350, n=100, seed=1234",54,1.8319944540276025e+19,4.0285793792603466e+21,1.340613901917897e+20,2.9232158111875436e+20
"pop=300, k=350, n=100, seed=1234",55,1.783828100431083e+19,2.2571429468838984e+21,8.672363597842036e+19,1.6255591542411133e+20
"pop=300, k=350, n=100, seed=1234",56,1.8057291903782177e+19,8.494682344810027e+20,5.024899336383591e+19,7.390244588344428e+19
"pop=300, k=350, n=100, seed=1234",57,1.4079858529636205e+19,7.806011486457364e+20,4.073783129997352e+19,5.765134308260731e+19
"pop=300, k=350, n=100, seed=1234",58,1.3774819670804111e+19,2.3458078375954425e+20,3.431580596173291e+19,2.1415038375154745e+19
"pop=300, k=350, n=100, seed=1234",59,1.145852994647094e+19,6.095726600925273e+20,3.3842824075153695e+19,4.061137674597446e+19
"pop=300, k=350, n=100, seed=1234",60,1.145852994647094e+19,2.7809925001852178e+20,3.147546589054182e+19,2.7302915924666356e+19
"pop=300, k=350, n=100, seed=1234",61,1.053042176523963e+19,1.6223065045564693e+20,2.79134157411029e+19,2.295678110223599e+19
"pop=300, k=350, n=100, seed=1234",62,9.22862182548218e+18,2.006437487580005e+20,2.6358487548380852e+19,2.59943496147603e+19
"pop=300, k=350, n=100, seed=1234",63,8.278867018473e+18,1.2031980033207381e+20,1.9656591252462395e+19,1.2711603930491689e+19
"pop=300, k=350, n=100, seed=1234",64,8.33285977309119e+18,1.0312194881726862e+20,1.6655825063784862e+19,1.024614379103832e+19
"pop=300, k=350, n=100, seed=1234",65,7.269693740684699e+18,8.136763218004443e+19,1.5888085475446856e+19,1.0315742587514073e+19
"pop=300, k=350, n=100, seed=1234",66,6.597261395517138e+18,5.816024032328585e+19,1.4419947690550467e+19,7.619483704465148e+18
"pop=300, k=350, n=100, seed=1234",67,6.597261395517138e+18,7.384912587874642e+19,1.526842992025239e+19,1.0374534832010654e+19
"pop=300, k=350, n=100, seed=1234",68,5.963617686163871e+18,1.0916084875577321e+20,1.4257829320120564e+19,1.0967055799788972e+19
"pop=300, k=350, n=100, seed=1234",69,5.475270924532596e+18,1.2940636940610352e+20,1.4431684812565619e+19,1.2505800330870196e+19
"pop=300, k=350, n=100, seed=1234",70,5.389772247216318e+18,9.653079137519963e+19,1.273524675520596e+19,1.1464790674522739e+19
"pop=300, k=350, n=100, seed=1234",71,4.861192175472223e+18,5.144761265059175e+19,1.0973421603239668e+19,7.632616419791654e+18
"pop=300, k=350, n=100, seed=1234",72,4.861192175472223e+18,8.647314703049672e+19,1.2236691489280209e+19,1.0947799618577762e+19
"pop=300, k=350, n=100, seed=1234",73,4.70413828888682e+18,3.192577087353291e+20,1.2404427945781017e+19,1.978217267868568e+19
"pop=300, k=350, n=100, seed=1234",74,4.07370111668269e+18,7.734982241398499e+19,1.0868521245258279e+19,1.0665056218329915e+19
"pop=300, k=350, n=100, seed=1234",75,3.2678587952946545e+18,6.748419182816018e+19,8.728077319528755e+18,7.090738942798378e+18
"pop=300, k=350, n=100, seed=1234",76,4.001391527968229e+18,6.187035061574719e+19,7.20942406307387e+18,6.536821326100378e+18
"pop=300, k=350, n=100, seed=1234",77,3.8349164817747036e+18,4.441779504637017e+19,5.711709188639536e+18,3.4438402004954194e+18
"pop=300, k=350, n=100, seed=1234",78,2.974564681347031e+18,5.3748027870964e+19,5.693743418442954e+18,3.653806567805552e+18
"pop=300, k=350, n=100, seed=1234",79,2.974564681347031e+18,2.25239254506863e+19,5.590907194165582e+18,2.61904880556857e+18
"pop=300, k=350, n=100, seed=1234",80,2.973637993442709e+18,2.0897325993081352e+19,5.313846983028042e+18,2.763818579267451e+18
"pop=300, k=350, n=100, seed=1234",81,2.967224886996511e+18,6.506192244248784e+19,5.790358831301271e+18,5.029396844747143e+18
"pop=300, k=350, n=100, seed=1234",82,2.500471341378282e+18,4.529119065594739e+19,5.848420073388453e+18,4.4153819981087196e+18
"pop=300, k=350, n=100, seed=1234",83,2.5526858673137833e+18,2.501134314308027e+19,4.831970975378466e+18,2.7933577453678863e+18
"pop=300, k=350, n=100, seed=1234",84,2.2494562705826112e+18,2.2378359505696e+19,5.282792595338914e+18,3.342119423116565e+18
"pop=300, k=350, n=100, seed=1234",85,2.2494562705826112e+18,2.1438660766754386e+19,4.784553104173134e+18,2.943846801690484e+18
"pop=300, k=350, n=100, seed=1234",86,2.217092403248482e+18,2.1212782352782676e+19,4.3725883868918666e+18,2.906572070876134e+18
"pop=300, k=350, n=100, seed=1234",87,1.9594204083815388e+18,1.7625520182159913e+19,4.284927381005946e+18,2.718780802750332e+18
"pop=300, k=350, n=100, seed=1234",88,1.9594204083815388e+18,2.727362313312246e+19,4.0367387751419156e+18,3.0576829135781545e+18
"pop=300, k=350, n=100, seed=1234",89,1.8523854201044654e+18,2.5767138283023725e+19,3.897590599422812e+18,3.2942555992666035e+18
"pop=300, k=350, n=100, seed=1234",90,1.9174094584788308e+18,2.048401000715897e+19,4.0581276911475543e+18,2.831572076944837e+18
"pop=300, k=350, n=100, seed=1234",91,1.397233571993899e+18,1.6880661822473351e+19,3.733656131267627e+18,2.563236567503831e+18
"pop=300, k=350, n=100, seed=1234",92,1.3401156147304748e+18,2.6958599149014622e+19,3.904583774269234e+18,3.5006989878409124e+18
"pop=300, k=350, n=100, seed=1234",93,1.337821573674061e+18,2.743616843182723e+19,3.706420106236216e+18,3.1385515380422006e+18
