Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=300, n=1, seed=1234",0,1.9672939083923746e-12,9828725181344.93,57190686479.72705,582446123458.8258
"pop=300, k=300, n=1, seed=1234",1,9.834021219936723e-19,6757665574.383436,53038330.896180004,425677022.9470446
"pop=300, k=300, n=1, seed=1234",2,1.7130612520322872e-24,25508707.041466177,101033.55904746783,1478611.5675178757
"pop=300, k=300, n=1, seed=1234",3,1.7130612520322872e-24,10259.852694303905,43.546710172568496,602.5046156548069
"pop=300, k=300, n=1, seed=1234",4,8.778726171919781e-25,0.22492514018467294,0.0010549216395506547,0.013201966172095084
"pop=300, k=300, n=1, seed=1234",5,1.0553020045812549e-31,6.221682481276995e-05,4.4012164094776075e-07,4.367224588098043e-06
"pop=300, k=300, n=1, seed=1234",6,1.2327540688334387e-33,3.4058973595999945e-07,3.884339849522216e-09,2.5417756128225073e-08
"pop=300, k=300, n=1, seed=1234",7,1.2327540688334387e-33,2.0596260666536503e-07,3.151326611324191e-09,1.8576841980053358e-08
"pop=300, k=300, n=1, seed=1234",8,6.24971696336064e-35,6.077440483267274e-07,4.2895123753885056e-09,4.292672628729462e-08
"pop=300, k=300, n=1, seed=1234",9,3.8629116511283396e-45,4.446481753565399e-07,5.69775202402036e-09,3.643379649339399e-08
"pop=300, k=300, n=1, seed=1234",10,3.8629116511283396e-45,5.301434560363725e-06,2.1938925893858895e-08,3.076479733790359e-07
"pop=300, k=300, n=1, seed=1234",11,3.8629116511283396e-45,5.609315158891471e-07,5.6419804180140214e-09,4.771893344975194e-08
"pop=300, k=300, n=1, seed=1234",12,2.4538879362185204e-43,3.1462381414929693e-07,3.033104533829353e-09,2.296814019921459e-08
"pop=300, k=300, n=1, seed=1234",13,1.3494459487700786e-43,2.3306483295084566e-06,1.1872439446874874e-08,1.3849633406557395e-07
"pop=300, k=300, n=1, seed=1234",14,1.2576351983689542e-43,7.554738157924558e-07,5.347606050278166e-09,4.674214699076472e-08
"pop=300, k=300, n=1, seed=1234",15,3.551901649673574e-49,3.07689938232198e-07,3.744343885222331e-09,2.581213414196378e-08
"pop=300, k=300, n=1, seed=1234",16,3.551901649673574e-49,1.027501690896498e-06,1.016691498410021e-08,8.981217348504434e-08
"pop=300, k=300, n=1, seed=1234",17,9.235277096891444e-52,4.5567932862306723e-07,5.152347880009821e-09,3.652039762968497e-08
"pop=300, k=300, n=1, seed=1234",18,8.205052665338163e-51,1.1273784825139267e-06,8.161670085949149e-09,6.82707215473688e-08
"pop=300, k=300, n=1, seed=1234",19,1.6182920336874957e-52,5.191605817808874e-07,3.1050241673131352e-09,3.0723469472530496e-08
"pop=300, k=300, n=1, seed=1234",20,1.6696898638931423e-50,1.3705740137164807e-07,1.6007172826780497e-09,1.0869649375409723e-08
"pop=300, k=300, n=1, seed=1234",21,5.174779786693436e-55,7.983515034842141e-07,4.376060084296044e-09,4.79841153385778e-08
"pop=300, k=300, n=1, seed=1234",22,5.0747982301416414e-58,1.418596547024424e-06,6.1537785263176484e-09,8.233909565089644e-08
"pop=300, k=300, n=1, seed=1234",23,2.6603457718860717e-62,4.085910626165107e-07,2.7023602668862485e-09,2.457449809230232e-08
"pop=300, k=300, n=1, seed=1234",24,4.1884790695209454e-70,6.230854112378189e-07,6.512684575126458e-09,4.4119735094429435e-08
"pop=300, k=300, n=1, seed=1234",25,4.1884790695209454e-70,3.4956416235076113e-07,6.686964563945789e-09,3.826925791435307e-08
"pop=300, k=300, n=1, seed=1234",26,4.1884790695209454e-70,4.138819745081102e-06,1.996023034821402e-08,2.410842432509849e-07
"pop=300, k=300, n=1, seed=1234",27,4.1884790695209454e-70,6.685797505707018e-07,5.511393003162622e-09,4.4920164191058175e-08
"pop=300, k=300, n=1, seed=1234",28,2.0159595666711073e-72,6.013881465017849e-08,1.2754478091862912e-09,6.445582582584287e-09
"pop=300, k=300, n=1, seed=1234",29,4.852440609690133e-72,3.0809513111268077e-07,2.5806623874171837e-09,2.0737672152474323e-08
"pop=300, k=300, n=1, seed=1234",30,3.822015079836735e-75,3.765975568247345e-07,4.162267015687095e-09,3.033473091814383e-08
"pop=300, k=300, n=1, seed=1234",31,4.7931551959485496e-79,3.1539792982801995e-07,3.485338548314514e-09,2.4097774413566668e-08
"pop=300, k=300, n=1, seed=1234",32,6.674881632055114e-81,6.164401709879337e-07,3.9996580386206505e-09,3.8303647928612523e-08
"pop=300, k=300, n=1, seed=1234",33,4.1157666447054137e-78,1.4182975044910988e-07,1.9758238093970235e-09,1.179968946995586e-08
"pop=300, k=300, n=1, seed=1234",34,6.955753150166582e-82,1.4501665294854322e-07,2.8245439836808344e-09,1.3501443570203871e-08
"pop=300, k=300, n=1, seed=1234",35,1.5295451015790992e-87,1.7928199722890687e-06,8.86295749603655e-09,1.0506566800071745e-07
"pop=300, k=300, n=1, seed=1234",36,1.5295451015790992e-87,1.1424297910493662e-06,9.550168380943374e-09,7.489450839968521e-08
"pop=300, k=300, n=1, seed=1234",37,1.033839346885886e-92,4.779390895069799e-07,3.7640698894346675e-09,3.268375858275668e-08
"pop=300, k=300, n=1, seed=1234",38,1.5295451015790992e-87,2.4903049769288725e-07,4.2069891127405856e-09,2.4602851813477096e-08
