Key,Iteration,Min,Max,Average,Std. Dev.
"pop=300, k=200, n=350, seed=1234",0,1.2332577454532138e+24,3.05897489014984e+25,7.298757749677017e+24,4.8148922584670693e+24
"pop=300, k=200, n=350, seed=1234",1,1.2332577454532138e+24,2.9506299777220016e+26,3.2356417223061942e+25,4.363257611117918e+25
"pop=300, k=200, n=350, seed=1234",2,1.2332577454532138e+24,6.0247823621596724e+26,4.157888452397363e+25,7.021712405789525e+25
"pop=300, k=200, n=350, seed=1234",3,1.2170710424235287e+24,5.168406345749619e+26,3.7760267273242737e+25,6.5017832443674135e+25
"pop=300, k=200, n=350, seed=1234",4,1.2186573499060226e+24,6.285285726645365e+26,3.0206239273571716e+25,6.295091822718956e+25
"pop=300, k=200, n=350, seed=1234",5,1.218822411363546e+24,3.788630673041052e+26,2.193291286677225e+25,3.8188314574422104e+25
"pop=300, k=200, n=350, seed=1234",6,1.2144236775864375e+24,2.561830953006405e+26,1.7463336471584456e+25,3.539878901970365e+25
"pop=300, k=200, n=350, seed=1234",7,1.2001471563994603e+24,1.4220700609868237e+26,8.730755062380964e+24,2.020055243077703e+25
"pop=300, k=200, n=350, seed=1234",8,1.1810200644091169e+24,6.023736569473648e+25,1.5761796573785962e+24,4.335831857391125e+24
"pop=300, k=200, n=350, seed=1234",9,1.1590844623390036e+24,1.2626418832381741e+24,1.2099522293382192e+24,1.5404445822841375e+22
"pop=300, k=200, n=350, seed=1234",10,1.1334194967240082e+24,1.2538613168549199e+24,1.1955000313029638e+24,1.9536073843987014e+22
"pop=300, k=200, n=350, seed=1234",11,1.0915145217098676e+24,1.2470967116797322e+24,1.1748097991371276e+24,2.481849147306163e+22
"pop=300, k=200, n=350, seed=1234",12,1.0651174880222558e+24,1.2552073409838935e+24,1.1512746942764087e+24,2.9962160322980614e+22
"pop=300, k=200, n=350, seed=1234",13,1.0286761579339226e+24,1.2632358544753055e+24,1.1239992442287079e+24,3.4072736356431798e+22
